EdgeNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelUniqueID	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
14	cluster-NILCVML0C0496PB.000288::A0_pag_agent_causer_of_contamination::cluster-NILCEML0C0496PB.000143	A0_pag_agent_causer_of_contamination	NotNegated	Event	cluster-NILCVML0C0496PB.000288::Q60528603	cluster-NILCVML0C0496PB.000288	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000143	NotNegated	the world’s population	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
15	cluster-NILCVML0C0496PB.000288::A2_ppt_theme_contaminant::cluster-NILCEML0C0496PB.000300	A2_ppt_theme_contaminant	NotNegated	Event	cluster-NILCVML0C0496PB.000288::Q60528603	cluster-NILCVML0C0496PB.000288	NotNegated	Entity	Q16686022	cluster-NILCEML0C0496PB.000300	NotNegated	Carbon dioxide	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
16	cluster-NILCVML0C0496PB.000288::A1_gol_destination_thing_becoming_contaminated::cluster-NILCEML0C0496PB.000305	A1_gol_destination_thing_becoming_contaminated	NotNegated	Event	cluster-NILCVML0C0496PB.000288::Q60528603	cluster-NILCVML0C0496PB.000288	NotNegated	Entity	Q27096213	cluster-NILCEML0C0496PB.000305	NotNegated	the world	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
17	cluster-NILCVML0C0496PB.000370::A0_pag_agent_killer::cluster-NILCEML0C0496PB.000153	A0_pag_agent_killer	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000153	NotNegated	Cronies of Gates and Soros	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
18	cluster-NILCVML0C0496PB.000370::A2_mnr_instrument_instrument::cluster-NILCEML0C0496PB.000148	A2_mnr_instrument_instrument	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Entity	Q134808	cluster-NILCEML0C0496PB.000148	NotNegated	covid vaccine	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
19	cluster-NILCVML0C0496PB.000370::A0_pag_agent_killer::cluster-NILCEML0C0496PB.000118	A0_pag_agent_killer	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000118	NotNegated	Bill Gates	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
20	cluster-NILCVML0C0496PB.000370::A1_ppt_patient_corpse::cluster-NILCEML0C0496PB.000143	A1_ppt_patient_corpse	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000143	NotNegated	the world’s population	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
21	cluster-NILCVML0C0496PB.000370::AM_loc__location::cluster-NILCEML0C0496PB.000305	AM_loc__location	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Entity	Q27096213	cluster-NILCEML0C0496PB.000305	NotNegated	the world	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
22	cluster-NILCVML0C0496PB.000370::A0_pag_agent_killer::cluster-NILCEML0C0496PB.000123	A0_pag_agent_killer	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000123	NotNegated	George Soros	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
23	cluster-NILCVML0C0496PB.000418::A0_pag_agent_killer::cluster-NILCEML0C0496PB.000118	A0_pag_agent_killer	NotNegated	Event	cluster-NILCVML0C0496PB.000418::Q74948922	cluster-NILCVML0C0496PB.000418	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000118	NotNegated	Bill Gates	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
24	cluster-NILCVML0C0496PB.000418::A0_pag_agent_killer::cluster-NILCEML0C0496PB.000153	A0_pag_agent_killer	NotNegated	Event	cluster-NILCVML0C0496PB.000418::Q74948922	cluster-NILCVML0C0496PB.000418	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000153	NotNegated	Cronies of Gates and Soros	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
25	cluster-NILCVML0C0496PB.000418::A0_pag_agent_killer::cluster-NILCEML0C0496PB.000123	A0_pag_agent_killer	NotNegated	Event	cluster-NILCVML0C0496PB.000418::Q74948922	cluster-NILCVML0C0496PB.000418	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000123	NotNegated	George Soros	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
26	cluster-NILCVML0C0496PB.000418::A1_ppt_patient_corpse::cluster-NILCEML0C0496PB.000143	A1_ppt_patient_corpse	NotNegated	Event	cluster-NILCVML0C0496PB.000418::Q74948922	cluster-NILCVML0C0496PB.000418	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000143	NotNegated	the world’s population	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
27	cluster-NILCVML0C0496PB.000418::A2_mnr_instrument_instrument::cluster-NILCEML0C0496PB.000148	A2_mnr_instrument_instrument	NotNegated	Event	cluster-NILCVML0C0496PB.000418::Q74948922	cluster-NILCVML0C0496PB.000418	NotNegated	Entity	Q134808	cluster-NILCEML0C0496PB.000148	NotNegated	covid vaccine	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
28	cluster-NILCVML0C0496PB.000478::A0_pag_agent_asker::cluster-NILCEML0C0496PB.000113	A0_pag_agent_asker	NotNegated	Event	cluster-NILCVML0C0496PB.000478::Q22445448	cluster-NILCVML0C0496PB.000478	NotNegated	Entity	Q107711	cluster-NILCEML0C0496PB.000113	NotNegated	Piers Corbyn	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
29	cluster-NILCVML0C0496PB.000478::AM_mnr__manner::cluster-NILCEML0C0496PB.000138	AM_mnr__manner	NotNegated	Event	cluster-NILCVML0C0496PB.000478::Q22445448	cluster-NILCVML0C0496PB.000478	NotNegated	Entity	Q15621286	cluster-NILCEML0C0496PB.000138	NotNegated	Twitter	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
30	cluster-NILCVML0C0496PB.000478::A2_gol_recipient_hearer::cluster-NILCEML0C0496PB.000133	A2_gol_recipient_hearer	NotNegated	Event	cluster-NILCVML0C0496PB.000478::Q22445448	cluster-NILCVML0C0496PB.000478	NotNegated	Entity	Q215627	cluster-NILCEML0C0496PB.000133	NotNegated	followers on Twitter	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
31	cluster-NILCVML0C0496PB.000510::A2_ppt__inoculated_against::cluster-NILCEML0C0496PB.000530	A2_ppt__inoculated_against	NotNegated	Event	cluster-NILCVML0C0496PB.000510::Q192995	cluster-NILCVML0C0496PB.000510	Negated	Entity	Q12136	cluster-NILCEML0C0496PB.000530	NotNegated	COVID-19	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
32	cluster-NILCVML0C0496PB.000510::A1_ppt__patient_inoculated::cluster-NILCEML0C0496PB.000143	A1_ppt__patient_inoculated	NotNegated	Event	cluster-NILCVML0C0496PB.000510::Q192995	cluster-NILCVML0C0496PB.000510	Negated	Entity	Q215627	cluster-NILCEML0C0496PB.000143	NotNegated	the world’s population	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)
33	cluster-NILCVML0C0496PB.000510::A3_mnr__innoculated_with::cluster-NILCEML0C0496PB.000148	A3_mnr__innoculated_with	NotNegated	Event	cluster-NILCVML0C0496PB.000510::Q192995	cluster-NILCVML0C0496PB.000510	Negated	Entity	Q134808	cluster-NILCEML0C0496PB.000148	NotNegated	covid vaccine	L0C0496PB	NULL	L0C0496PB:L0C049DUI:(1,0)-(916,0)	L0C0496PB:L0C049DUI:(1,0)-(916,0)EdgeNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelUniqueID	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
34	cluster-NILCRML0C0496PB.000350::Time::TIME	Time	NotNegated	Relation	cluster-NILCRML0C0496PB.000350::Q621695	cluster-NILCRML0C0496PB.000350	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
35	cluster-NILCVML0C0496PB.000158::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000158::Q567303	cluster-NILCVML0C0496PB.000158	NotNegated	Time	TMP	TIME	NotNegated	16-03-2020;16-03-2020;16-03-2020;16-03-2020	None	NULL	NULL	NULL
36	cluster-NILCVML0C0496PB.000186::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000186::Q11398090	cluster-NILCVML0C0496PB.000186	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;16-03-2020;01-01-0001;16-03-2020	None	NULL	NULL	NULL
37	cluster-NILCVML0C0496PB.000214::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000214::Q11398090	cluster-NILCVML0C0496PB.000214	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;16-03-2020;01-01-0001;16-03-2020	None	NULL	NULL	NULL
38	cluster-NILCVML0C0496PB.000288::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000288::Q60528603	cluster-NILCVML0C0496PB.000288	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
39	cluster-NILCVML0C0496PB.000370::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000370::Q8242560	cluster-NILCVML0C0496PB.000370	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
40	cluster-NILCVML0C0496PB.000418::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000418::Q74948922	cluster-NILCVML0C0496PB.000418	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
41	cluster-NILCVML0C0496PB.000478::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000478::Q22445448	cluster-NILCVML0C0496PB.000478	NotNegated	Time	TMP	TIME	NotNegated	16-03-2020;16-03-2020;16-03-2020;16-03-2020	None	NULL	NULL	NULL
42	cluster-NILCVML0C0496PB.000510::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C0496PB.000510::Q192995	cluster-NILCVML0C0496PB.000510	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
