EdgeNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelUniqueID	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
11	cluster-NILCVML0C04AJNP.002708::A0_pag_agent_asker::cluster-NILCEML0C04AJNP.002172	A0_pag_agent_asker	NotNegated	Event	cluster-NILCVML0C04AJNP.002708::Q22445448	cluster-NILCVML0C04AJNP.002708	NotNegated	Entity	Q167037	cluster-NILCEML0C04AJNP.002172	NotNegated	Aldi org	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
12	cluster-NILCVML0C04AJNP.002966::A0_pag__complier::cluster-NILCEML0C04AJNP.002097	A0_pag__complier	NotNegated	Event	cluster-NILCVML0C04AJNP.002966::Q1399332	cluster-NILCVML0C04AJNP.002966	NotNegated	Entity	Q215627	cluster-NILCEML0C04AJNP.002097	NotNegated	people	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
13	cluster-NILCVML0C04AJNP.002966::AM_loc__location::cluster-NILCEML0C04AJNP.002990	AM_loc__location	NotNegated	Event	cluster-NILCVML0C04AJNP.002966::Q1399332	cluster-NILCVML0C04AJNP.002966	NotNegated	Entity	Q213441	cluster-NILCEML0C04AJNP.002990	NotNegated	Target store	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
14	cluster-NILCVML0C04AJNP.002966::A1_ppt___complied_with::cluster-NILCEML0C04AJNP.002082	A1_ppt___complied_with	NotNegated	Event	cluster-NILCVML0C04AJNP.002966::Q1399332	cluster-NILCVML0C04AJNP.002966	NotNegated	Entity	Q15621286	cluster-NILCEML0C04AJNP.002082	NotNegated	mask mandate for indoors spaces	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
15	cluster-NILCVML0C04AJNP.003036::AM_loc__location::cluster-NILCEML0C04AJNP.002995	AM_loc__location	NotNegated	Event	cluster-NILCVML0C04AJNP.003036::Q1399332	cluster-NILCVML0C04AJNP.003036	NotNegated	Entity	Q213441	cluster-NILCEML0C04AJNP.002995	NotNegated	Walmart store	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
16	cluster-NILCVML0C04AJNP.003036::A0_pag__complier::cluster-NILCEML0C04AJNP.002097	A0_pag__complier	NotNegated	Event	cluster-NILCVML0C04AJNP.003036::Q1399332	cluster-NILCVML0C04AJNP.003036	NotNegated	Entity	Q215627	cluster-NILCEML0C04AJNP.002097	NotNegated	people	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
17	cluster-NILCVML0C04AJNP.003036::A1_ppt___complied_with::cluster-NILCEML0C04AJNP.002082	A1_ppt___complied_with	NotNegated	Event	cluster-NILCVML0C04AJNP.003036::Q1399332	cluster-NILCVML0C04AJNP.003036	NotNegated	Entity	Q15621286	cluster-NILCEML0C04AJNP.002082	NotNegated	mask mandate for indoors spaces	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
18	cluster-NILCVML0C04AJNP.003060::A0_pag__complier::cluster-NILCEML0C04AJNP.002097	A0_pag__complier	NotNegated	Event	cluster-NILCVML0C04AJNP.003060::Q1399332	cluster-NILCVML0C04AJNP.003060	NotNegated	Entity	Q215627	cluster-NILCEML0C04AJNP.002097	NotNegated	people	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
19	cluster-NILCVML0C04AJNP.003060::A1_ppt___complied_with::cluster-NILCEML0C04AJNP.002082	A1_ppt___complied_with	NotNegated	Event	cluster-NILCVML0C04AJNP.003060::Q1399332	cluster-NILCVML0C04AJNP.003060	NotNegated	Entity	Q15621286	cluster-NILCEML0C04AJNP.002082	NotNegated	mask mandate for indoors spaces	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
20	cluster-NILCVML0C04AJNP.003060::AM_loc__location::cluster-NILCEML0C04AJNP.003000	AM_loc__location	NotNegated	Event	cluster-NILCVML0C04AJNP.003060::Q1399332	cluster-NILCVML0C04AJNP.003060	NotNegated	Entity	Q213441	cluster-NILCEML0C04AJNP.003000	NotNegated	Kroger store	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
21	cluster-NILCVML0C04AJNP.003084::AM_loc__location::cluster-NILCEML0C04AJNP.003005	AM_loc__location	NotNegated	Event	cluster-NILCVML0C04AJNP.003084::Q1399332	cluster-NILCVML0C04AJNP.003084	NotNegated	Entity	Q213441	cluster-NILCEML0C04AJNP.003005	NotNegated	Aldi store	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
22	cluster-NILCVML0C04AJNP.003084::A1_ppt___complied_with::cluster-NILCEML0C04AJNP.002082	A1_ppt___complied_with	NotNegated	Event	cluster-NILCVML0C04AJNP.003084::Q1399332	cluster-NILCVML0C04AJNP.003084	NotNegated	Entity	Q15621286	cluster-NILCEML0C04AJNP.002082	NotNegated	mask mandate for indoors spaces	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
23	cluster-NILCVML0C04AJNP.003084::A0_pag__complier::cluster-NILCEML0C04AJNP.002097	A0_pag__complier	NotNegated	Event	cluster-NILCVML0C04AJNP.003084::Q1399332	cluster-NILCVML0C04AJNP.003084	NotNegated	Entity	Q215627	cluster-NILCEML0C04AJNP.002097	NotNegated	people	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
24	cluster-NILCVML0C04AJNP.003120::A1_ppt_theme_theme::cluster-NILCEML0C04AJNP.003233	A1_ppt_theme_theme	NotNegated	Event	cluster-NILCVML0C04AJNP.003120::Q1717246	cluster-NILCVML0C04AJNP.003120	NotNegated	Entity	Q12136	cluster-NILCEML0C04AJNP.003233	NotNegated	COVID-19	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
25	cluster-NILCVML0C04AJNP.003120::A0_pag_agent_agent::cluster-NILCEML0C04AJNP.002087	A0_pag_agent_agent	NotNegated	Event	cluster-NILCVML0C04AJNP.003120::Q1717246	cluster-NILCVML0C04AJNP.003120	NotNegated	Entity	Q161524	cluster-NILCEML0C04AJNP.002087	NotNegated	masks	L0C04AJNP	NULL	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)
26	cluster-NILCVML0C04AJNP.002310::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002310::Q1399332	cluster-NILCVML0C04AJNP.002310	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
27	cluster-NILCVML0C04AJNP.002554::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002554::P3828	cluster-NILCVML0C04AJNP.002554	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
28	cluster-NILCVML0C04AJNP.002574::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002574::Q11024	cluster-NILCVML0C04AJNP.002574	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
29	cluster-NILCVML0C04AJNP.002648::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002648::Q22445448	cluster-NILCVML0C04AJNP.002648	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
30	cluster-NILCVML0C04AJNP.002668::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002668::Q22445448	cluster-NILCVML0C04AJNP.002668	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
31	cluster-NILCVML0C04AJNP.002688::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002688::Q22445448	cluster-NILCVML0C04AJNP.002688	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
32	cluster-NILCVML0C04AJNP.002708::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002708::Q22445448	cluster-NILCVML0C04AJNP.002708	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
33	cluster-NILCVML0C04AJNP.002966::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.002966::Q1399332	cluster-NILCVML0C04AJNP.002966	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
34	cluster-NILCVML0C04AJNP.003036::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.003036::Q1399332	cluster-NILCVML0C04AJNP.003036	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
35	cluster-NILCVML0C04AJNP.003060::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.003060::Q1399332	cluster-NILCVML0C04AJNP.003060	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
36	cluster-NILCVML0C04AJNP.003084::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.003084::Q1399332	cluster-NILCVML0C04AJNP.003084	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
37	cluster-NILCVML0C04AJNP.003120::Time::TIME	Time	NotNegated	Event	cluster-NILCVML0C04AJNP.003120::Q1717246	cluster-NILCVML0C04AJNP.003120	NotNegated	Time	TMP	TIME	NotNegated	01-01-0001;31-12-9999;01-01-0001;31-12-9999	None	NULL	NULL	NULL
