DocID	RunID	Language	Metatype	Prec	Recall	F1
L0C049C8Z	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C049C8Z	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C049COZ	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C049COZ	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C049COZ	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C049JWW	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C049JWW	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C049JWW	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C049K22	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C049K22	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C049K22	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C049LVH	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C049LVH	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C049LVH	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04AJ88	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04AJ88	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04AJ88	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04AJNP	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04AJNP	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04AJNP	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04AJZ0	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04AJZ0	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04AJZ0	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04C67U	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04C67U	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04C67U	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04C86E	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04C86E	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04C86E	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04C88B	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04C88B	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04C88B	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04C8AR	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04C8AR	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04C8AR	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04C8B3	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04C8B3	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04C8B3	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04C8BK	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04C8BK	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04C8BK	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04C8CS	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04C8CS	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04C8CS	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04CJ5T	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CJ5T	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CJ5T	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04CKAO	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CKAO	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CKAO	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CKB8	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CKB8	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CKB8	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CKC6	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CKC6	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CKC6	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CKD8	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CKD8	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CKD8	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CQMI	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04CQMI	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04CQMI	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04CQOS	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04CQOS	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04CQOS	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04CQY0	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CQY0	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CQY0	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CQY9	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CQY9	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CQY9	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CQZ2	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CQZ2	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CQZ2	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CR2K	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CR2K	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CR2K	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CTDS	example-task1-run	SPA	Entity	1.0000	1.0000	1.0000
L0C04CTDS	example-task1-run	SPA	Event	1.0000	1.0000	1.0000
L0C04CTDS	example-task1-run	SPA	ALL	1.0000	1.0000	1.0000
L0C04CTJ7	example-task1-run	SPA	Entity	0.0000	0.0000	0.0000
L0C04CTJ7	example-task1-run	SPA	Event	0.0000	0.0000	0.0000
L0C04CTJ7	example-task1-run	SPA	ALL	0.0000	0.0000	0.0000
L0C04CTP9	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CTP9	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CTP9	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CTPO	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CTPO	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CTPO	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CTR6	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CTR6	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CTR6	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CTRG	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CTRG	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CTRG	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CTV6	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CTV6	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CTV6	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CTVE	example-task1-run	ENG	Entity	1.0000	1.0000	1.0000
L0C04CTVE	example-task1-run	ENG	Event	1.0000	1.0000	1.0000
L0C04CTVE	example-task1-run	ENG	ALL	1.0000	1.0000	1.0000
L0C04CWFV	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CWFV	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CWFV	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04CWQQ	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CWQQ	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CWQQ	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CWR9	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CWR9	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CWR9	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CY1I	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CY1I	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CY1I	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04CYNC	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CYNC	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CYNC	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CYYN	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CYYN	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CYYN	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04CZ4R	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CZ4R	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CZ4R	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04CZI8	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04CZI8	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04CZI8	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04CZKT	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CZKT	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CZKT	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04CZNP	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04CZNP	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04CZNP	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04D16R	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04D16R	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04D16R	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04D24L	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04D24L	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04D24L	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
L0C04D2XJ	example-task1-run	RUS	Entity	0.0000	0.0000	0.0000
L0C04D2XJ	example-task1-run	RUS	Event	0.0000	0.0000	0.0000
L0C04D2XJ	example-task1-run	RUS	ALL	0.0000	0.0000	0.0000
L0C04D39I	example-task1-run	ENG	Entity	0.0000	0.0000	0.0000
L0C04D39I	example-task1-run	ENG	Event	0.0000	0.0000	0.0000
L0C04D39I	example-task1-run	ENG	ALL	0.0000	0.0000	0.0000
ALL-Micro	example-task1-run	ENG	Entity			0.0345
ALL-Micro	example-task1-run	ENG	Event			0.0345
ALL-Micro	example-task1-run	ENG	ALL			0.0345
ALL-Micro	example-task1-run	RUS	Entity			0.0000
ALL-Micro	example-task1-run	RUS	Event			0.0000
ALL-Micro	example-task1-run	RUS	ALL			0.0000
ALL-Micro	example-task1-run	SPA	Entity			0.0625
ALL-Micro	example-task1-run	SPA	Event			0.0625
ALL-Micro	example-task1-run	SPA	ALL			0.0625
ALL-Micro	example-task1-run	ALL	Entity			0.0345
ALL-Micro	example-task1-run	ALL	Event			0.0345
ALL-Micro	example-task1-run	ALL	ALL			0.0345
ALL-Macro	example-task1-run	ENG	Entity			0.0345
ALL-Macro	example-task1-run	ENG	Event			0.0345
ALL-Macro	example-task1-run	ENG	ALL			0.0345
ALL-Macro	example-task1-run	RUS	Entity			0.0000
ALL-Macro	example-task1-run	RUS	Event			0.0000
ALL-Macro	example-task1-run	RUS	ALL			0.0000
ALL-Macro	example-task1-run	SPA	Entity			0.0625
ALL-Macro	example-task1-run	SPA	Event			0.0625
ALL-Macro	example-task1-run	SPA	ALL			0.0625
ALL-Macro	example-task1-run	ALL	Entity			0.0345
ALL-Macro	example-task1-run	ALL	Event			0.0345
ALL-Macro	example-task1-run	ALL	ALL			0.0345
