DocID	RunID	Language	Metatype	TRFscore
L0C049B4W	example-task1-run	RUS	ALL	0.0000
L0C049CGT	example-task1-run	RUS	Event	0.0000
L0C049CGT	example-task1-run	RUS	ALL	0.0000
L0C049D7E	example-task1-run	RUS	Event	0.0000
L0C049D7E	example-task1-run	RUS	Relation	0.0000
L0C049D7E	example-task1-run	RUS	ALL	0.0000
L0C049DA1	example-task1-run	ENG	Event	0.0000
L0C049DA1	example-task1-run	ENG	Relation	0.0000
L0C049DA1	example-task1-run	ENG	ALL	0.0000
L0C049DNW	example-task1-run	SPA	Event	0.0000
L0C049DNW	example-task1-run	SPA	Relation	0.0000
L0C049DNW	example-task1-run	SPA	ALL	0.0000
L0C049EFT	example-task1-run	SPA	Event	0.0000
L0C049EFT	example-task1-run	SPA	ALL	0.0000
L0C049F2S	example-task1-run	SPA	Event	0.0000
L0C049F2S	example-task1-run	SPA	Relation	0.0000
L0C049F2S	example-task1-run	SPA	ALL	0.0000
L0C049MJ2	example-task1-run	ENG	Event	0.0000
L0C049MJ2	example-task1-run	ENG	Relation	0.0000
L0C049MJ2	example-task1-run	ENG	ALL	0.0000
L0C04AI9C	example-task1-run	SPA	Event	0.0000
L0C04AI9C	example-task1-run	SPA	Relation	0.0000
L0C04AI9C	example-task1-run	SPA	ALL	0.0000
L0C04AIMC	example-task1-run	SPA	Event	0.0000
L0C04AIMC	example-task1-run	SPA	Relation	0.0000
L0C04AIMC	example-task1-run	SPA	ALL	0.0000
L0C04AJ15	example-task1-run	ENG	Event	0.0000
L0C04AJ15	example-task1-run	ENG	Relation	0.0000
L0C04AJ15	example-task1-run	ENG	ALL	0.0000
L0C04AKUW	example-task1-run	ENG	Event	0.0000
L0C04AKUW	example-task1-run	ENG	Relation	0.0000
L0C04AKUW	example-task1-run	ENG	ALL	0.0000
L0C04AL15	example-task1-run	RUS	Event	0.0000
L0C04AL15	example-task1-run	RUS	Relation	0.0000
L0C04AL15	example-task1-run	RUS	ALL	0.0000
L0C04AOT5	example-task1-run	ENG	Event	0.0000
L0C04AOT5	example-task1-run	ENG	Relation	0.0000
L0C04AOT5	example-task1-run	ENG	ALL	0.0000
L0C04APO3	example-task1-run	ENG	Event	0.0000
L0C04APO3	example-task1-run	ENG	Relation	0.0000
L0C04APO3	example-task1-run	ENG	ALL	0.0000
L0C04ARPX	example-task1-run	SPA	Event	0.0000
L0C04ARPX	example-task1-run	SPA	Relation	0.0000
L0C04ARPX	example-task1-run	SPA	ALL	0.0000
L0C04ASZA	example-task1-run	SPA	Event	0.0000
L0C04ASZA	example-task1-run	SPA	Relation	0.0000
L0C04ASZA	example-task1-run	SPA	ALL	0.0000
L0C04BZGR	example-task1-run	RUS	Event	0.0000
L0C04BZGR	example-task1-run	RUS	Relation	0.0000
L0C04BZGR	example-task1-run	RUS	ALL	0.0000
L0C04C20Q	example-task1-run	ENG	Event	0.0000
L0C04C20Q	example-task1-run	ENG	Relation	0.0000
L0C04C20Q	example-task1-run	ENG	ALL	0.0000
L0C04C2AF	example-task1-run	RUS	Event	0.0000
L0C04C2AF	example-task1-run	RUS	Relation	0.0000
L0C04C2AF	example-task1-run	RUS	ALL	0.0000
L0C04C2XR	example-task1-run	RUS	Event	0.0000
L0C04C2XR	example-task1-run	RUS	Relation	0.0000
L0C04C2XR	example-task1-run	RUS	ALL	0.0000
L0C04C8H1	example-task1-run	SPA	Event	0.0000
L0C04C8H1	example-task1-run	SPA	Relation	0.0000
L0C04C8H1	example-task1-run	SPA	ALL	0.0000
L0C04C8WE	example-task1-run	SPA	Event	0.0000
L0C04C8WE	example-task1-run	SPA	Relation	0.0000
L0C04C8WE	example-task1-run	SPA	ALL	0.0000
L0C04CMJP	example-task1-run	ENG	Event	0.0000
L0C04CMJP	example-task1-run	ENG	Relation	0.0000
L0C04CMJP	example-task1-run	ENG	ALL	0.0000
L0C04CORZ	example-task1-run	SPA	Event	0.0000
L0C04CORZ	example-task1-run	SPA	Relation	0.0000
L0C04CORZ	example-task1-run	SPA	ALL	0.0000
L0C04CQF1	example-task1-run	ENG	Event	0.0000
L0C04CQF1	example-task1-run	ENG	Relation	0.0000
L0C04CQF1	example-task1-run	ENG	ALL	0.0000
L0C04CSXF	example-task1-run	ENG	Event	0.0000
L0C04CSXF	example-task1-run	ENG	Relation	0.0000
L0C04CSXF	example-task1-run	ENG	ALL	0.0000
L0C04CU2N	example-task1-run	ENG	Event	0.0000
L0C04CU2N	example-task1-run	ENG	Relation	0.0000
L0C04CU2N	example-task1-run	ENG	ALL	0.0000
L0C04CUCP	example-task1-run	SPA	Event	0.0000
L0C04CUCP	example-task1-run	SPA	Relation	0.0000
L0C04CUCP	example-task1-run	SPA	ALL	0.0000
L0C04CWPS	example-task1-run	RUS	Event	0.0000
L0C04CWPS	example-task1-run	RUS	Relation	0.0000
L0C04CWPS	example-task1-run	RUS	ALL	0.0000
L0C04CYFZ	example-task1-run	RUS	Event	0.0000
L0C04CYFZ	example-task1-run	RUS	Relation	0.0000
L0C04CYFZ	example-task1-run	RUS	ALL	0.0000
L0C04D16F	example-task1-run	ENG	Event	0.0000
L0C04D16F	example-task1-run	ENG	ALL	0.0000
ALL-Micro	example-task1-run	ENG	Event	0.0000
ALL-Micro	example-task1-run	ENG	Relation	0.0000
ALL-Micro	example-task1-run	ENG	ALL	0.0000
ALL-Micro	example-task1-run	RUS	Event	0.0202
ALL-Micro	example-task1-run	RUS	Relation	0.0062
ALL-Micro	example-task1-run	RUS	ALL	0.0171
ALL-Micro	example-task1-run	SPA	Event	0.0185
ALL-Micro	example-task1-run	SPA	Relation	0.0267
ALL-Micro	example-task1-run	SPA	ALL	0.0199
ALL-Micro	example-task1-run	ALL	Event	0.0130
ALL-Micro	example-task1-run	ALL	Relation	0.0114
ALL-Micro	example-task1-run	ALL	ALL	0.0125
ALL-Macro	example-task1-run	ENG	Event	0.0000
ALL-Macro	example-task1-run	ENG	Relation	0.0000
ALL-Macro	example-task1-run	ENG	ALL	0.0000
ALL-Macro	example-task1-run	RUS	Event	0.0202
ALL-Macro	example-task1-run	RUS	Relation	0.0062
ALL-Macro	example-task1-run	RUS	ALL	0.0171
ALL-Macro	example-task1-run	SPA	Event	0.0185
ALL-Macro	example-task1-run	SPA	Relation	0.0267
ALL-Macro	example-task1-run	SPA	ALL	0.0199
ALL-Macro	example-task1-run	ALL	Event	0.0130
ALL-Macro	example-task1-run	ALL	Relation	0.0114
ALL-Macro	example-task1-run	ALL	ALL	0.0125
