?is_assertion_negated	?subject_metatype	?subject	?is_subject_negated	?predicate	?object_metatype	?object	?is_object_negated	?predicate_justification	?argument_assertion_confidence	?predicate_justification_confidence
NotNegated	Event	cluster-NILQV30481	NotNegated	A1_ppt_theme_subject	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30481	NotNegated	AM_loc__location	Entity	cluster-NILQE31241	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30481	NotNegated	AM_mnr__manner	Event	cluster-NILQV30480	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30482	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30479	Negated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30482	NotNegated	A2_gol_recipient_hearer	Entity	cluster-Q1470970	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30483	NotNegated	A0_pag_agent_announcer	Entity	cluster-Q97309777	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30483	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30479	Negated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30484	NotNegated	A0_pag_pivot_wearer	Entity	cluster-NILQE31250	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30484	NotNegated	A1_ppt_theme_clothing	Entity	cluster-NILQE31243	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30485	Negated	A0_pag_agent_one_party	Entity	cluster-NILQE31250	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30486	NotNegated	A0_pag_agent_agent_of_washing	Entity	cluster-NILQE31250	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30486	NotNegated	A1_ppt_theme_thing_being_washed	Entity	cluster-NILQE31244	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30487	NotNegated	A0_pag_agent_agent	Event	cluster-NILQV30484	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30487	NotNegated	A1_ppt_theme_theme	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30488	NotNegated	A0_pag_agent_agent	Event	cluster-NILQV30485	Negated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30488	NotNegated	A1_ppt_theme_theme	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30489	NotNegated	A0_pag_agent_agent	Event	cluster-NILQV30486	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30489	NotNegated	A1_ppt_theme_theme	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30490	NotNegated	A0_pag_agent_announcer	Entity	cluster-Q97309777	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30490	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30487	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30490	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30488	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30490	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30489	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30491	NotNegated	A0_pag_agent_agent	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30491	NotNegated	A1_ppt_theme_theme	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30492	NotNegated	A1_ppt_theme_subject	Event	cluster-NILQV30491	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30492	NotNegated	AM_loc__location	Entity	cluster-NILQE31245	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30492	NotNegated	AM_mnr__manner	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30493	NotNegated	A1_dir_source_patient	Entity	cluster-NILQE31251	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30493	NotNegated	A2_ppt_theme_illness_or_injury	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30493	NotNegated	A3_mnr__instrument_treatment	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30494	NotNegated	A0_pag_agent_first_communicator	Entity	cluster-NILQE31246	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30494	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30495	Negated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30495	Negated	A1_dir_source_patient	Entity	cluster-NILQE31251	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30495	Negated	A2_ppt_theme_illness_or_injury	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30495	Negated	A3_mnr__instrument_treatment	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30496	NotNegated	A0_pag_agent_announcer	Entity	cluster-Q62742160	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30496	NotNegated	A1_ppt_topic_utterance	Event	cluster-NILQV30479	Negated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30497	NotNegated	A1_ppt_the_deceased	Entity	cluster-NILQE31248	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30497	NotNegated	AM_cau__cause	Entity	cluster-NILQE31238	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30498	Negated	A0_pag_agent_agent	Entity	cluster-NILQE31237	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30498	Negated	A1_ppt_theme_theme	Event	cluster-NILQV30497	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
NotNegated	Event	cluster-NILQV30498	Negated	AM_loc__location	Entity	cluster-NILQE31241	NotNegated	L0C04CTVE:L0C04CVN2:(1,0)-(5148,0)	"1.0"	"1.0"
