?cluster	?metatype	?type	?mention_span	?is_negated	?type_statement_confidence	?cluster_membership_confidence	?mention_type_justification_confidence
cluster-NILV30029	Event	Q17781833	L0C04960U:L0C049DTH:(2082,0)-(2095,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30030	Event	Q1595418	L0C04960U:L0C049DTH:(2625,0)-(2628,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30031	Event	Q17781833	L0C04960U:L0C049DTH:(2897,0)-(2904,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30032	Event	Q1717246	L0C04960U:L0C049DTH:(2987,0)-(3005,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30033	Event	Q166231	L0C04960U:L0C049DTH:(1577,0)-(1587,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-NILV30034	Event	Q12136	L0C04960U:L0C049DTH:(975,0)-(990,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q1006223	Entity	Q327333	L0C04960U:L0C049DTH:(3494,0)-(3526,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q1006223	Entity	Q327333	L0C04960U:L0C049DTH:(3662,0)-(3669,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q183	Entity	Q6256	L0C04960U:L0C049DTH:(3494,0)-(3502,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q824	Entity	Q56061	L0C04960U:L0C049DTH:(1216,0)-(1221,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q861888	Entity	Q43229	L0C04960U:L0C049DTH:(1197,0)-(1221,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q91391319	Entity	Q901	L0C04960U:L0C049DTH:(1179,0)-(1192,0)	NotNegated	"1.0"	"1.0"	"1.0"
cluster-Q91391319	Entity	Q901	L0C04960U:L0C049DTH:(3243,0)-(3256,0)	NotNegated	"1.0"	"1.0"	"1.0"
